source,target,weight,source_x,source_y,target_x,target_y
CWE-1,CWE-74,1.0,0.2341279238462448,0.43183037638664246,0.007661097217351198,0.036121878772974014
CWE-1,CWE-190,1.0,0.2341279238462448,0.43183037638664246,0.02146238461136818,-0.04406428337097168
CWE-1,CWE-862,1.0,0.2341279238462448,0.43183037638664246,0.01283059548586607,0.05784422531723976
CWE-1,CWE-189,1.0,0.2341279238462448,0.43183037638664246,0.03691590204834938,0.002064014319330454
CWE-1,CWE-347,1.0,0.2341279238462448,0.43183037638664246,0.04296262934803963,-0.04241947457194328
CWE-5,CWE-476,4.0,0.19702944159507751,0.19916316866874695,0.008121746592223644,-0.05267108604311943
CWE-5,CWE-326,3.0,0.19702944159507751,0.19916316866874695,0.025557879358530045,0.03420320898294449
CWE-5,CWE-94,3.0,0.19702944159507751,0.19916316866874695,0.016311705112457275,0.03439301252365112
CWE-5,CWE-77,3.0,0.19702944159507751,0.19916316866874695,-0.006357021164149046,0.01131310686469078
CWE-5,CWE-295,3.0,0.19702944159507751,0.19916316866874695,-0.009991549886763096,0.008003872819244862
CWE-14,CWE-89,1.0,-0.4463668465614319,-0.17486298084259033,-0.00555427884683013,0.05527329444885254
CWE-14,CWE-798,1.0,-0.4463668465614319,-0.17486298084259033,-0.010445678606629372,0.030253754928708076
CWE-14,CWE-522,1.0,-0.4463668465614319,-0.17486298084259033,-0.021644705906510353,0.00901167094707489
CWE-14,CWE-1240,1.0,-0.4463668465614319,-0.17486298084259033,-0.10325012356042862,-0.11401348561048508
CWE-14,CWE-79,1.0,-0.4463668465614319,-0.17486298084259033,0.0017418835777789354,0.038216229528188705
CWE-15,CWE-770,6.0,-0.13214057683944702,0.11393049359321594,0.01887659914791584,-0.008485198952257633
CWE-15,CWE-306,6.0,-0.13214057683944702,0.11393049359321594,0.011751214042305946,0.007642471697181463
CWE-15,CWE-79,10.0,-0.13214057683944702,0.11393049359321594,0.0017418835777789354,0.038216229528188705
CWE-15,CWE-78,25.0,-0.13214057683944702,0.11393049359321594,-0.025486763566732407,0.012438386678695679
CWE-15,CWE-22,9.0,-0.13214057683944702,0.11393049359321594,-0.001189596951007843,0.03682870417833328
CWE-16,CWE-200,118.0,0.06646277010440826,0.01199296023696661,0.010003194212913513,0.0025022828485816717
CWE-16,CWE-264,148.0,0.06646277010440826,0.01199296023696661,0.022591320797801018,0.004412608686834574
CWE-16,CWE-399,111.0,0.06646277010440826,0.01199296023696661,0.03767465054988861,-0.006188033148646355
CWE-16,CWE-119,144.0,0.06646277010440826,0.01199296023696661,0.018370850011706352,-0.027967318892478943
CWE-16,CWE-20,140.0,0.06646277010440826,0.01199296023696661,0.013655856251716614,-0.010220822878181934
CWE-17,CWE-399,98.0,0.07588347792625427,-0.004388046450912952,0.03767465054988861,-0.006188033148646355
CWE-17,CWE-119,124.0,0.07588347792625427,-0.004388046450912952,0.018370850011706352,-0.027967318892478943
CWE-17,CWE-20,109.0,0.07588347792625427,-0.004388046450912952,0.013655856251716614,-0.010220822878181934
CWE-17,CWE-200,117.0,0.07588347792625427,-0.004388046450912952,0.010003194212913513,0.0025022828485816717
CWE-17,CWE-264,110.0,0.07588347792625427,-0.004388046450912952,0.022591320797801018,0.004412608686834574
CWE-18,CWE-763,8.0,0.07769551873207092,-0.19726243615150452,0.017859462648630142,-0.0823659896850586
CWE-18,CWE-119,9.0,0.07769551873207092,-0.19726243615150452,0.018370850011706352,-0.027967318892478943
CWE-18,CWE-787,9.0,0.07769551873207092,-0.19726243615150452,0.013456960208714008,-0.030299469828605652
CWE-18,CWE-125,9.0,0.07769551873207092,-0.19726243615150452,0.017900768667459488,-0.03875621780753136
CWE-18,CWE-200,11.0,0.07769551873207092,-0.19726243615150452,0.010003194212913513,0.0025022828485816717
CWE-19,CWE-200,242.0,-0.02230023592710495,-0.008882191963493824,0.010003194212913513,0.0025022828485816717
CWE-19,CWE-284,152.0,-0.02230023592710495,-0.008882191963493824,-0.009231174364686012,-0.011757888831198215
