cwe_id,year,cve_count,pct_of_year,yoy_growth_pct
CWE-1,2017,2,0.01,
CWE-1004,2021,1,0.0,
CWE-1004,2022,1,0.0,0.0
CWE-1004,2025,7,0.01,600.0
CWE-1004,2026,4,0.01,-42.9
CWE-1007,2025,2,0.0,
CWE-1018,2023,1,0.0,
CWE-1021,2005,1,0.02,
CWE-1021,2008,1,0.02,0.0
CWE-1021,2011,1,0.02,0.0
CWE-1021,2013,1,0.02,0.0
CWE-1021,2014,2,0.02,100.0
CWE-1021,2015,1,0.02,-50.0
CWE-1021,2016,1,0.02,0.0
CWE-1021,2017,7,0.04,600.0
CWE-1021,2018,9,0.05,28.6
CWE-1021,2019,26,0.14,188.9
CWE-1021,2020,45,0.23,73.1
CWE-1021,2021,66,0.3,46.7
CWE-1021,2022,58,0.22,-12.1
CWE-1021,2023,33,0.11,-43.1
CWE-1021,2024,33,0.08,0.0
CWE-1021,2025,50,0.1,51.5
CWE-1021,2026,51,0.08,2.0
CWE-1022,2022,2,0.01,
CWE-1022,2025,3,0.01,50.0
CWE-1022,2026,1,0.0,-66.7
CWE-1023,2025,3,0.01,
CWE-1023,2026,6,0.01,100.0
CWE-1025,2024,1,0.0,
CWE-1025,2025,4,0.01,300.0
CWE-1025,2026,7,0.01,75.0
CWE-1026,2022,1,0.0,
CWE-1027,2026,1,0.0,
CWE-1037,2025,3,0.01,
CWE-1038,2025,4,0.01,
CWE-1039,2025,2,0.0,
CWE-1046,2026,1,0.0,
CWE-1049,2023,1,0.0,
CWE-1050,2024,1,0.0,
CWE-1050,2025,3,0.01,200.0
CWE-1050,2026,3,0.0,0.0
CWE-1059,2026,2,0.0,
CWE-1068,2025,1,0.0,
CWE-1068,2026,1,0.0,0.0
CWE-1072,2026,1,0.0,
CWE-1076,2021,1,0.0,
CWE-1077,2023,1,0.0,
CWE-1077,2026,2,0.0,100.0
CWE-1088,2025,4,0.01,
CWE-1088,2026,1,0.0,-75.0
CWE-1100,2025,1,0.0,
CWE-1102,2025,1,0.0,
CWE-1103,2023,1,0.0,
CWE-1104,2024,1,0.0,
CWE-1104,2025,6,0.01,500.0
CWE-1104,2026,11,0.02,83.3
CWE-1106,2024,1,0.0,
CWE-1108,2022,1,0.0,
CWE-1108,2026,1,0.0,0.0
CWE-1112,2025,1,0.0,
CWE-1116,2025,1,0.0,
CWE-1119,2026,1,0.0,
CWE-112,2021,1,0.0,
CWE-112,2022,1,0.0,0.0
CWE-112,2023,1,0.0,0.0
CWE-112,2026,1,0.0,0.0
CWE-1124,2026,1,0.0,
CWE-1125,2026,1,0.0,
CWE-113,2007,1,0.02,
CWE-113,2015,1,0.02,0.0
CWE-113,2016,3,0.05,200.0
CWE-113,2017,5,0.03,66.7
CWE-113,2018,6,0.03,20.0
CWE-113,2019,3,0.02,-50.0
CWE-113,2023,1,0.0,-66.7
CWE-113,2024,2,0.0,100.0
CWE-113,2025,11,0.02,450.0
CWE-113,2026,31,0.05,181.8
CWE-114,2023,1,0.0,
CWE-114,2024,2,0.0,100.0
CWE-114,2025,6,0.01,200.0
CWE-114,2026,1,0.0,-83.3
CWE-1149,2026,1,0.0,
CWE-115,2020,1,0.01,
CWE-115,2022,1,0.0,0.0
CWE-115,2023,1,0.0,0.0
CWE-115,2024,2,0.0,100.0
CWE-115,2025,8,0.02,300.0
CWE-115,2026,3,0.0,-62.5
CWE-116,2013,1,0.02,
CWE-116,2017,6,0.03,500.0
CWE-116,2018,6,0.03,0.0
CWE-116,2019,18,0.1,200.0
CWE-116,2020,14,0.07,-22.2
CWE-116,2021,27,0.12,92.9
CWE-116,2022,56,0.21,107.4
CWE-116,2023,39,0.13,-30.4
CWE-116,2024,41,0.1,5.1
CWE-116,2025,53,0.11,29.3
CWE-116,2026,88,0.13,66.0
CWE-1164,2025,1,0.0,
CWE-117,2020,1,0.01,
CWE-117,2022,1,0.0,0.0
CWE-117,2023,4,0.01,300.0
CWE-117,2024,10,0.02,150.0
CWE-117,2025,25,0.05,150.0
CWE-117,2026,27,0.04,8.0
CWE-1173,2026,2,0.0,
CWE-1174,2025,1,0.0,
CWE-1176,2025,1,0.0,
CWE-1176,2026,1,0.0,0.0
CWE-118,2017,4,0.02,
CWE-118,2018,8,0.04,100.0
CWE-118,2019,1,0.01,-87.5
CWE-118,2025,2,0.0,100.0
CWE-118,2026,1,0.0,-50.0
CWE-1187,2017,1,0.01,
CWE-1187,2018,1,0.01,0.0
CWE-1187,2019,1,0.01,0.0
CWE-1188,2017,19,0.1,
CWE-1188,2018,15,0.08,-21.1
CWE-1188,2019,28,0.15,86.7
CWE-1188,2020,22,0.11,-21.4
CWE-1188,2021,19,0.09,-13.6
CWE-1188,2022,16,0.06,-15.8
CWE-1188,2023,15,0.05,-6.3
CWE-1188,2024,25,0.06,66.7
CWE-1188,2025,43,0.09,72.0
CWE-1188,2026,51,0.08,18.6
CWE-1189,2024,2,0.0,
CWE-1189,2025,1,0.0,-50.0
CWE-1189,2026,3,0.0,200.0
CWE-119,1997,1,0.4,
CWE-119,1998,2,0.81,100.0
CWE-119,1999,5,0.54,150.0
CWE-119,2000,1,0.1,-80.0
CWE-119,2001,9,0.54,800.0
CWE-119,2002,41,1.89,355.6
CWE-119,2003,52,3.36,26.8
CWE-119,2004,23,0.93,-55.8
CWE-119,2005,71,1.42,208.7
CWE-119,2006,144,2.16,102.8
CWE-119,2007,418,6.34,190.3
CWE-119,2008,552,9.75,32.1
CWE-119,2009,549,9.5,-0.5
CWE-119,2010,505,10.82,-8.0
CWE-119,2011,579,13.88,14.7
CWE-119,2012,682,12.75,17.8
CWE-119,2013,730,13.71,7.0
CWE-119,2014,742,9.27,1.6
CWE-119,2015,963,14.6,29.8
CWE-119,2016,1025,15.73,6.4
CWE-119,2017,2102,11.6,105.1
CWE-119,2018,985,5.43,-53.1
CWE-119,2019,460,2.43,-53.3
