year,total_cves,cves_with_cpe,cves_with_cwe,cpe_coverage_pct,cwe_coverage_pct
1988,2,2,0,100.0,0.0
1989,3,3,0,100.0,0.0
1990,11,11,1,100.0,9.1
1991,15,14,0,93.3,0.0
1992,14,13,0,92.9,0.0
1993,13,13,0,100.0,0.0
1994,26,25,1,96.2,3.8
1995,25,25,0,100.0,0.0
1996,75,70,5,93.3,6.7
1997,253,242,16,95.7,6.3
1998,247,238,17,96.4,6.9
1999,923,800,57,86.7,6.2
2000,1020,1017,31,99.7,3.0
2001,1679,1672,97,99.6,5.8
2002,2170,2156,299,99.4,13.8
2003,1548,1483,282,95.8,18.2
2004,2479,2303,238,92.9,9.6
2005,5010,4734,470,94.5,9.4
2006,6659,6608,932,99.2,14.0
2007,6596,6516,2518,98.8,38.2
2008,5664,5631,5160,99.4,91.1
2009,5778,5732,4931,99.2,85.3
2010,4667,4637,3773,99.4,80.8
2011,4172,4150,3379,99.5,81.0
2012,5351,5284,4162,98.7,77.8
2013,5324,5187,4135,97.4,77.7
2014,8008,7928,6823,99.0,85.2
2015,6595,6494,5202,98.5,78.9
2016,6517,6449,5373,99.0,82.4
2017,18113,14642,12980,80.8,71.7
2018,18154,16510,14644,90.9,80.7
2019,18938,17305,15045,91.4,79.4
2020,19222,18322,14666,95.3,76.3
2021,21950,20149,17094,91.8,77.9
2022,26431,25072,22143,94.9,83.8
2023,30949,28815,26506,93.1,85.6
2024,40704,32182,37919,79.1,93.2
2025,49972,30177,44987,60.4,90.0
2026,66288,32651,59924,49.3,90.4
