year,severity,cve_count,pct_of_year
1988,HIGH,2,100.0
1989,HIGH,2,66.67
1989,MEDIUM,1,33.33
1990,HIGH,8,72.73
1990,LOW,1,9.09
1990,MEDIUM,2,18.18
1991,HIGH,11,73.33
1991,MEDIUM,4,26.67
1992,HIGH,12,85.71
1992,LOW,1,7.14
1992,UNSCORED,1,7.14
1993,HIGH,8,61.54
1993,LOW,2,15.38
1993,MEDIUM,3,23.08
1994,HIGH,14,53.85
1994,LOW,1,3.85
1994,MEDIUM,10,38.46
1994,UNSCORED,1,3.85
1995,CRITICAL,1,4.0
1995,HIGH,17,68.0
1995,LOW,1,4.0
1995,MEDIUM,6,24.0
1996,CRITICAL,1,1.33
1996,HIGH,43,57.33
1996,LOW,9,12.0
1996,MEDIUM,21,28.0
1996,UNSCORED,1,1.33
1997,CRITICAL,1,0.4
1997,HIGH,143,56.52
1997,LOW,19,7.51
1997,MEDIUM,89,35.18
1997,UNSCORED,1,0.4
1998,CRITICAL,1,0.4
1998,HIGH,137,55.47
1998,LOW,23,9.31
1998,MEDIUM,85,34.41
1998,UNSCORED,1,0.4
1999,CRITICAL,3,0.33
1999,HIGH,424,45.94
1999,LOW,111,12.03
1999,MEDIUM,356,38.57
1999,UNSCORED,29,3.14
2000,CRITICAL,2,0.2
2000,HIGH,454,44.51
2000,LOW,96,9.41
2000,MEDIUM,467,45.78
2000,UNSCORED,1,0.1
2001,CRITICAL,12,0.71
2001,HIGH,776,46.22
2001,LOW,182,10.84
2001,MEDIUM,706,42.05
2001,UNSCORED,3,0.18
2002,CRITICAL,10,0.46
2002,HIGH,1023,47.14
2002,LOW,143,6.59
2002,MEDIUM,980,45.16
2002,UNSCORED,14,0.65
2003,CRITICAL,9,0.58
2003,HIGH,674,43.54
2003,LOW,97,6.27
2003,MEDIUM,747,48.26
2003,UNSCORED,21,1.36
2004,CRITICAL,10,0.4
2004,HIGH,973,39.25
2004,LOW,203,8.19
2004,MEDIUM,1265,51.03
2004,UNSCORED,28,1.13
2005,CRITICAL,13,0.26
2005,HIGH,2048,40.88
2005,LOW,441,8.8
2005,MEDIUM,2430,48.5
2005,UNSCORED,78,1.56
2006,CRITICAL,11,0.17
2006,HIGH,2763,41.49
2006,LOW,509,7.64
2006,MEDIUM,3325,49.93
2006,UNSCORED,51,0.77
2007,CRITICAL,21,0.32
2007,HIGH,3162,47.94
2007,LOW,232,3.52
2007,MEDIUM,3101,47.01
2007,UNSCORED,80,1.21
2008,CRITICAL,19,0.34
2008,HIGH,2845,50.23
2008,LOW,185,3.27
2008,MEDIUM,2583,45.6
2008,UNSCORED,32,0.56
2009,CRITICAL,15,0.26
2009,HIGH,2734,47.32
2009,LOW,197,3.41
2009,MEDIUM,2786,48.22
2009,UNSCORED,46,0.8
2010,CRITICAL,28,0.6
2010,HIGH,2093,44.85
2010,LOW,277,5.94
2010,MEDIUM,2241,48.02
2010,UNSCORED,28,0.6
2011,CRITICAL,5,0.12
2011,HIGH,1784,42.76
2011,LOW,261,6.26
2011,MEDIUM,2100,50.34
2011,UNSCORED,22,0.53
2012,CRITICAL,21,0.39
2012,HIGH,1723,32.2
2012,LOW,508,9.49
2012,MEDIUM,3036,56.74
2012,UNSCORED,63,1.18
2013,CRITICAL,23,0.43
2013,HIGH,1733,32.55
2013,LOW,517,9.71
2013,MEDIUM,2914,54.73
2013,UNSCORED,137,2.57
2014,CRITICAL,20,0.25
2014,HIGH,1924,24.03
2014,LOW,660,8.24
2014,MEDIUM,5324,66.48
2014,UNSCORED,80,1.0
2015,CRITICAL,50,0.76
2015,HIGH,2352,35.66
2015,LOW,589,8.93
2015,MEDIUM,3503,53.12
2015,UNSCORED,101,1.53
2016,CRITICAL,887,13.61
2016,HIGH,2895,44.42
2016,LOW,221,3.39
2016,MEDIUM,2446,37.53
2016,UNSCORED,68,1.04
2017,CRITICAL,2111,11.65
2017,HIGH,6595,36.41
2017,LOW,236,1.3
2017,MEDIUM,5700,31.47
2017,UNSCORED,3471,19.16
2018,CRITICAL,2597,14.31
2018,HIGH,7542,41.54
2018,LOW,168,0.93
2018,MEDIUM,6203,34.17
2018,UNSCORED,1644,9.06
2019,CRITICAL,2635,13.91
2019,HIGH,7209,38.07
2019,LOW,311,1.64
2019,MEDIUM,7150,37.75
2019,UNSCORED,1633,8.62
2020,CRITICAL,2706,14.08
2020,HIGH,7678,39.94
2020,LOW,425,2.21
2020,MEDIUM,7513,39.09
2020,UNSCORED,900,4.68
2021,CRITICAL,2666,12.15
2021,HIGH,8554,38.97
2021,LOW,441,2.01
2021,MEDIUM,8488,38.67
2021,UNSCORED,1801,8.21
2022,CRITICAL,4247,16.07
2022,HIGH,10152,38.41
2022,LOW,495,1.87
2022,MEDIUM,10178,38.51
2022,UNSCORED,1359,5.14
2023,CRITICAL,4628,14.95
2023,HIGH,10952,35.39
2023,LOW,421,1.36
2023,MEDIUM,12814,41.4
2023,UNSCORED,2134,6.9
2024,CRITICAL,4937,12.13
2024,HIGH,14369,35.3
2024,LOW,807,1.98
2024,MEDIUM,19515,47.94
2024,NONE,1,0.0
2024,UNSCORED,1075,2.64
2025,CRITICAL,6085,12.18
2025,HIGH,16266,32.55
2025,LOW,1124,2.25
2025,MEDIUM,21913,43.85
2025,NONE,1,0.0
2025,UNSCORED,4583,9.17
2026,CRITICAL,7828,11.81
2026,HIGH,25674,38.73
2026,LOW,1934,2.92
2026,MEDIUM,23741,35.81
2026,NONE,10,0.02
2026,UNSCORED,7101,10.71
