vendor,pca_x,pca_y,archetype_cluster,archetype_label,total_cves,share_CWE-79,share_CWE-89,share_CWE-787,share_CWE-119,share_CWE-20,share_CWE-22,share_CWE-352,share_CWE-125,share_CWE-862,share_CWE-200,share_CWE-416,share_CWE-78,share_CWE-476,share_CWE-264,share_CWE-94,share_CWE-284,share_CWE-287,share_CWE-434,share_CWE-120,share_CWE-74,share_Other
1000projects,1.839450497062696,-1.335588874756452,1,Web-injection-heavy,86,0.08139534883720931,0.6395348837209303,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.023255813953488372,0.0,0.19767441860465115,0.0
10web,2.131746802724626,-1.3836471818852394,1,Web-injection-heavy,94,0.6521739130434783,0.14130434782608695,0.0,0.0,0.0,0.06521739130434782,0.03260869565217391,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.010869565217391304
1234n,2.1207789565140795,-0.49590993117785637,1,Web-injection-heavy,35,0.6,0.0,0.0,0.0,0.0,0.1,0.16666666666666666,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,0.0
2daybiz,1.456127532089133,-1.4296418122684547,1,Web-injection-heavy,25,0.24,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3com,-1.2898913361697957,1.098455076265001,0,Diffuse (no dominant category),40,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364
3cx,1.2704288638444936,-0.09203583118119125,1,Web-injection-heavy,34,0.375,0.03125,0.0,0.0,0.0,0.125,0.0,0.0,0.03125,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.03125,0.3125
3ds,0.668798542683089,-1.0558604581240196,1,Web-injection-heavy,61,0.576271186440678,0.01694915254237288,0.05084745762711865,0.0,0.0,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.0,0.05084745762711865,0.03389830508474576,0.0,0.01694915254237288,0.05084745762711865,0.0,0.0,0.0,0.0,0.0,0.13559322033898305
7-zip,-2.275785103914069,-0.69811801498959,2,Memory-safety-heavy,35,0.0,0.0,0.12121212121212122,0.09090909090909091,0.0,0.06060606060606061,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48484848484848486
74cms,1.6141786241017866,-1.1387802798743811,1,Web-injection-heavy,36,0.3235294117647059,0.38235294117647056,0.0,0.0,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.0,0.08823529411764706
abb,-0.46056634648278993,1.9242995559402172,0,Diffuse (no dominant category),161,0.03496503496503497,0.013986013986013986,0.013986013986013986,0.027972027972027972,0.07692307692307693,0.04895104895104895,0.02097902097902098,0.0,0.0,0.02097902097902098,0.0,0.006993006993006993,0.006993006993006993,0.006993006993006993,0.013986013986013986,0.006993006993006993,0.07692307692307693,0.006993006993006993,0.0,0.006993006993006993,0.6083916083916084
absolute,-0.5559819209828266,0.8716650273474766,0,Diffuse (no dominant category),59,0.24074074074074073,0.0,0.018518518518518517,0.037037037037037035,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.018518518518518517,0.0,0.0,0.018518518518518517,0.0,0.0,0.07407407407407407,0.0,0.0,0.018518518518518517,0.0,0.46296296296296297
accellion,0.712723406368588,0.5080222530806758,0,Diffuse (no dominant category),65,0.2542372881355932,0.0847457627118644,0.0,0.0,0.0,0.05084745762711865,0.01694915254237288,0.0,0.0,0.01694915254237288,0.0,0.0847457627118644,0.0,0.05084745762711865,0.01694915254237288,0.0,0.01694915254237288,0.03389830508474576,0.0,0.01694915254237288,0.3559322033898305
accusoft,-2.667310704791013,-1.7756132633790442,2,Memory-safety-heavy,61,0.016666666666666666,0.0,0.65,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.23333333333333334
acer,-0.4649799559159497,3.384629602762966,0,Diffuse (no dominant category),54,0.0,0.0,0.06521739130434782,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.08695652173913043,0.0,0.06521739130434782,0.0,0.0,0.021739130434782608,0.021739130434782608,0.17391304347826086,0.0,0.0,0.0,0.5217391304347826
acquia,1.5244950635128915,-0.33317158405533304,1,Web-injection-heavy,42,0.4146341463414634,0.04878048780487805,0.0,0.0,0.0,0.07317073170731707,0.07317073170731707,0.0,0.07317073170731707,0.0,0.0,0.0,0.0,0.0975609756097561,0.0,0.0,0.024390243902439025,0.0,0.0,0.024390243902439025,0.17073170731707318
acronis,-0.03706651942617156,1.1052055309098574,0,Diffuse (no dominant category),172,0.08496732026143791,0.0,0.0,0.0,0.032679738562091505,0.013071895424836602,0.013071895424836602,0.0,0.10457516339869281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026143790849673203,0.0,0.0,0.0,0.7254901960784313
activewebsoftwares,1.481066972781696,-1.524731465251484,1,Web-injection-heavy,27,0.07407407407407407,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
admerc,2.1888884463215756,-2.0268054758740948,1,Web-injection-heavy,71,0.028169014084507043,0.352112676056338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6197183098591549,0.0
admidio,2.0388378024516354,-0.6570249991215754,1,Web-injection-heavy,32,0.1935483870967742,0.16129032258064516,0.0,0.0,0.03225806451612903,0.03225806451612903,0.16129032258064516,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.12903225806451613,0.0,0.0,0.16129032258064516
adobe,-2.1649840049428124,-1.8711388328622505,2,Memory-safety-heavy,7649,0.19699812382739212,0.0017318516380430077,0.1584644248809352,0.14706306826381874,0.027132342329340454,0.008370616250541203,0.002886419396738346,0.15543368451435993,0.0,0.013854813104344062,0.09857122239861452,0.003319382306249098,0.017462837350266994,0.010968393707605715,0.007793332371193534,0.006205801702987444,0.0012988887285322558,0.0023091355173906767,0.0034637032760860154,0.0002886419396738346,0.13638331649588686
adonesevangelista,1.879179579630507,-1.9164010366973931,1,Web-injection-heavy,44,0.09302325581395349,0.6976744186046512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06976744186046512,0.0,0.13953488372093023,0.0
adtran,0.3028911791655361,1.4917583346433623,0,Diffuse (no dominant category),20,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.46153846153846156
advantech,-0.026677249977150524,-0.05624341664837682,0,Diffuse (no dominant category),378,0.10497237569060773,0.19337016574585636,0.09116022099447514,0.12154696132596685,0.011049723756906077,0.09392265193370165,0.011049723756906077,0.008287292817679558,0.0027624309392265192,0.027624309392265192,0.0055248618784530384,0.06077348066298342,0.008287292817679558,0.008287292817679558,0.0055248618784530384,0.0055248618784530384,0.022099447513812154,0.019337016574585635,0.0,0.0027624309392265192,0.19613259668508287
aenrich,0.2865227142195851,1.420311233429709,0,Diffuse (no dominant category),20,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.5555555555555556
aerocms project,2.040536484687199,-1.6738383997576098,1,Web-injection-heavy,20,0.2,0.5,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.05
agentejo,1.5731016583809867,-0.8706383477871107,1,Web-injection-heavy,31,0.4,0.13333333333333333,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.1,0.0,0.0,0.23333333333333334
agpt,-0.1205811956205475,1.5405202409310985,0,Diffuse (no dominant category),23,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0,0.13043478260869565,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.6521739130434783
ahsanriaz26gmailcom,1.969385733717769,-1.705838233481466,1,Web-injection-heavy,36,0.4444444444444444,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.0
